edge,weight
0-1,2324.97
0-2,106.76
0-3,2118.46
0-4,848.91
0-5,4722.89
0-6,1965.71
0-7,526.08
0-8,1055.25
0-9,1924.77
1-2,808.56
1-3,432.52
1-4,5149.03
1-5,2144.96
1-6,5703.39
1-7,505.94
1-8,93.8
1-9,4060.25
2-3,106.57
2-4,4421.44
2-5,4782.02
2-6,5002.17
2-7,445.33
2-8,829.33
2-9,83.17
3-4,1955.47
3-5,1188.03
3-6,487.48
3-7,594.7
3-8,910.33
3-9,5796.11
4-5,1085.13
4-6,5839.3
4-7,1983.03
4-8,1073.79
4-9,460.52
5-6,591.39
5-7,1010.93
5-8,2197.8
5-9,2240.74
6-7,577.79
6-8,447.17
6-9,2055.26
7-8,1005.55
7-9,1674.29
8-9,1970.16
