edge,weight
0-1,2240.93
0-2,2161.47
0-3,99.75
0-4,2063.11
0-5,913.7
0-6,1959.54
0-7,513.38
0-8,108.39
0-9,1062.36
1-2,2129.79
1-3,2345.23
1-4,2264.21
1-5,815.77
1-6,958.39
1-7,103.01
1-8,1192.84
1-9,578.12
2-3,91.73
2-4,522.0
2-5,99.81
2-6,912.73
2-7,2149.93
2-8,2337.68
2-9,538.01
3-4,1767.28
3-5,1136.99
3-6,1101.3
3-7,87.61
3-8,1065.07
3-9,1159.79
4-5,89.25
4-6,2265.21
4-7,4846.84
4-8,2310.87
4-9,81.57
5-6,575.56
5-7,4467.24
5-8,80.72
5-9,1190.57
6-7,5821.47
6-8,85.21
6-9,598.95
7-8,1664.87
7-9,557.83
8-9,559.17
