node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,PIPEDA,4,128,tier1_hospital,0.974,standard,10000
1,clinic_001,5000,tier_2,64,local,2,256,tier2_hospital,0.942,critical,5000
2,research_center_002,5000,tier_3,64,HIPAA,8,512,research_center,0.992,critical,100000
3,mobile_unit_003,100,tier_1,4,local,1,32,mobile_unit,0.815,critical,2000
4,edge_device_004,50,tier_2,4,GDPR,0,8,edge_device,0.817,critical,1000
5,hospital_005,2000,tier_1,32,HIPAA,16,512,tier1_hospital,0.969,standard,10000
6,clinic_006,1000,tier_2,64,HIPAA,8,256,tier2_hospital,0.936,critical,20000
7,research_center_007,10000,tier_3,64,local,32,1024,research_center,0.988,high,20000
8,mobile_unit_008,1000,tier_1,8,local,2,16,mobile_unit,0.799,high,1000
9,edge_device_009,50,tier_2,8,local,0,8,edge_device,0.713,critical,2000
