node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,PIPEDA,8,256,tier1_hospital,0.982,critical,50000
1,clinic_001,5000,tier_2,64,GDPR,4,128,tier2_hospital,0.936,high,5000
2,research_center_002,5000,tier_3,64,local,32,1024,research_center,0.986,critical,50000
3,mobile_unit_003,1000,tier_1,8,GDPR,1,16,mobile_unit,0.887,high,2000
4,edge_device_004,100,tier_2,2,GDPR,1,16,edge_device,0.713,standard,500
5,hospital_005,2000,tier_1,128,GDPR,4,256,tier1_hospital,0.978,standard,50000
6,clinic_006,2000,tier_2,16,HIPAA,2,64,tier2_hospital,0.949,high,10000
7,research_center_007,20000,tier_3,64,GDPR,32,1024,research_center,0.989,standard,50000
8,mobile_unit_008,500,tier_1,4,local,2,16,mobile_unit,0.79,critical,2000
9,edge_device_009,500,tier_2,2,local,0,32,edge_device,0.781,standard,500
