node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,HIPAA,8,512,tier1_hospital,0.973,standard,10000
1,clinic_001,1000,tier_2,32,GDPR,2,128,tier2_hospital,0.92,standard,5000
2,research_center_002,5000,tier_3,256,PIPEDA,8,1024,research_center,0.999,critical,20000
3,mobile_unit_003,100,tier_1,16,HIPAA,2,16,mobile_unit,0.785,high,1000
4,edge_device_004,50,tier_2,2,GDPR,0,8,edge_device,0.858,high,1000
5,hospital_005,2000,tier_1,128,HIPAA,4,512,tier1_hospital,0.996,standard,20000
6,clinic_006,1000,tier_2,32,local,8,128,tier2_hospital,0.934,critical,20000
7,research_center_007,5000,tier_3,64,PIPEDA,8,256,research_center,0.992,high,100000
8,mobile_unit_008,100,tier_1,16,PIPEDA,2,64,mobile_unit,0.846,critical,5000
9,edge_device_009,50,tier_2,4,HIPAA,0,32,edge_device,0.735,critical,1000
10,hospital_010,10000,tier_1,64,GDPR,8,512,tier1_hospital,0.951,high,20000
11,clinic_011,1000,tier_2,64,local,8,64,tier2_hospital,0.971,high,10000
12,research_center_012,10000,tier_3,256,PIPEDA,8,512,research_center,0.983,critical,50000
13,mobile_unit_013,100,tier_1,4,local,1,16,mobile_unit,0.779,high,1000
14,edge_device_014,100,tier_2,8,HIPAA,1,16,edge_device,0.759,high,1000
15,hospital_015,10000,tier_1,32,HIPAA,16,128,tier1_hospital,0.975,critical,10000
16,clinic_016,5000,tier_2,32,HIPAA,2,128,tier2_hospital,0.904,standard,5000
17,research_center_017,20000,tier_3,256,HIPAA,16,256,research_center,0.998,critical,100000
18,mobile_unit_018,500,tier_1,8,local,2,32,mobile_unit,0.823,high,5000
19,edge_device_019,50,tier_2,4,GDPR,1,8,edge_device,0.825,high,1000
