node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,local,16,128,tier1_hospital,0.988,high,20000
1,clinic_001,2000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.959,standard,5000
2,research_center_002,5000,tier_3,128,PIPEDA,8,256,research_center,0.981,critical,20000
3,mobile_unit_003,500,tier_1,8,GDPR,2,16,mobile_unit,0.814,critical,5000
4,edge_device_004,50,tier_2,8,local,0,8,edge_device,0.766,standard,2000
5,hospital_005,2000,tier_1,32,HIPAA,16,128,tier1_hospital,0.953,high,50000
6,clinic_006,2000,tier_2,64,PIPEDA,4,256,tier2_hospital,0.939,high,5000
7,research_center_007,5000,tier_3,256,PIPEDA,8,512,research_center,0.991,critical,20000
8,mobile_unit_008,500,tier_1,8,PIPEDA,1,16,mobile_unit,0.781,standard,1000
9,edge_device_009,100,tier_2,8,PIPEDA,1,8,edge_device,0.864,high,2000
