node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,ISO27001,radiology,1971,private,mayo_clinic,tier1_hospital,1821
1,international,ISO27001,oncology,1957,mixed,johns_hopkins,tier2_hospital,246
2,international,FedRAMP,cardiology,2003,research_grant,stanford_med,research_center,4329
3,regional,HIPAA_compliant,neurology,1994,mixed,mass_general,mobile_unit,2382
4,local,HIPAA_compliant,pathology,1985,research_grant,ucla_health,edge_device,4007
5,national,ISO27001,radiology,1991,mixed,mayo_clinic,tier1_hospital,266
6,local,FedRAMP,oncology,1979,mixed,johns_hopkins,tier2_hospital,166
7,regional,SOC2,cardiology,1983,research_grant,stanford_med,research_center,3587
8,local,ISO27001,neurology,2012,mixed,mass_general,mobile_unit,3601
9,international,FedRAMP,pathology,1999,research_grant,ucla_health,edge_device,3875
