edge,weight
0-1,1934.85
0-2,100.48
0-3,419.46
0-4,511.91
0-5,5020.25
0-6,912.96
0-7,4617.12
0-8,106.94
0-9,518.02
1-2,2006.06
1-3,4470.21
1-4,116.64
1-5,101.39
1-6,869.34
1-7,100.42
1-8,109.97
1-9,948.95
2-3,804.32
2-4,417.57
2-5,529.56
2-6,2282.49
2-7,105.25
2-8,80.42
2-9,5743.18
3-4,531.74
3-5,4471.67
3-6,1900.75
3-7,85.31
3-8,4861.67
3-9,811.48
4-5,1824.69
4-6,5992.9
4-7,872.27
4-8,1017.73
4-9,2384.82
5-6,528.38
5-7,4248.37
5-8,5539.12
5-9,474.57
6-7,116.41
6-8,1025.27
6-9,458.44
7-8,90.35
7-9,2294.08
8-9,969.58
