node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,regional,ISO27001,radiology,1977,private,mayo_clinic,tier1_hospital,3481
1,regional,SOC2,oncology,2012,private,johns_hopkins,tier2_hospital,3753
2,regional,HIPAA_compliant,cardiology,2020,mixed,stanford_med,research_center,157
3,regional,FedRAMP,neurology,1965,private,mass_general,mobile_unit,3928
4,national,ISO27001,pathology,2002,mixed,ucla_health,edge_device,1927
5,national,ISO27001,radiology,1983,research_grant,mayo_clinic,tier1_hospital,798
6,regional,FedRAMP,oncology,2016,mixed,johns_hopkins,tier2_hospital,1247
7,local,FedRAMP,cardiology,1995,research_grant,stanford_med,research_center,1342
8,international,ISO27001,neurology,1972,public,mass_general,mobile_unit,4537
9,national,SOC2,pathology,1955,public,ucla_health,edge_device,4072
