edge,weight
0-1,425.69
0-2,83.87
0-3,495.01
0-4,423.2
0-5,93.89
0-6,1146.37
0-7,550.76
0-8,113.84
0-9,118.63
1-2,5200.48
1-3,1108.66
1-4,4690.34
1-5,115.03
1-6,569.87
1-7,506.42
1-8,4643.69
1-9,566.01
2-3,1600.47
2-4,1159.49
2-5,4624.79
2-6,1127.27
2-7,117.12
2-8,84.29
2-9,1788.61
3-4,5923.31
3-5,5563.68
3-6,533.09
3-7,2186.47
3-8,449.28
3-9,101.7
4-5,492.2
4-6,89.85
4-7,4541.11
4-8,5209.47
4-9,1739.89
5-6,1175.99
5-7,1939.32
5-8,4004.72
5-9,1747.8
6-7,1792.13
6-8,5078.14
6-9,1063.73
7-8,576.19
7-9,5542.47
8-9,437.43
