node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,43.989642,-92.492517,north_america,America/Chicago
1,Baltimore,USA,39.308917,-76.639712,europe,America/New_York
2,Palo Alto,USA,37.488391,-122.187019,asia_pacific,America/Los_Angeles
3,Boston,USA,42.371861,-71.043459,south_america,America/New_York
4,Los Angeles,USA,34.04525,-118.205888,africa,America/Los_Angeles
5,London,UK,51.535754,-0.160594,north_america,Europe/London
6,Paris,France,48.898838,2.383619,europe,Europe/Paris
7,Tokyo,Japan,35.680789,139.605815,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.345362,103.82265,south_america,Asia/Singapore
9,Sydney,Australia,-33.834046,151.256698,africa,Australia/Sydney
