node_id,latitude,longitude
0,44.036259,-92.45031
1,39.318767,-76.609128
2,37.397682,-122.103737
3,42.345802,-71.093921
4,34.083892,-118.236645
5,51.493324,-0.118902
6,48.810609,2.353631
7,35.646206,139.678686
8,1.328051,103.861335
9,-33.888198,151.217249
10,43.986888,-92.475807
11,39.257645,-76.57938
12,37.457965,-122.119684
13,42.380856,-71.084662
14,34.096147,-118.229868
15,51.475918,-0.174091
16,48.858656,2.333721
17,35.672788,139.639386
18,1.303915,103.783284
19,-33.913707,151.173839
