timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753380802.663524,1,5,"[4, 0, 1]",3,0.6,0.6,"{4: 1.0, 0: 1.0, 1: 1.0}",,,
1753380836.578456,2,5,"[4, 0, 2]",3,0.6,0.6,"{4: 1.0, 0: 1.0, 2: 1.0}",,,
1753380864.6414237,3,5,"[3, 1, 0]",3,0.6,0.6,"{3: 1.0, 1: 1.0, 0: 1.0}",,,
1753380899.8252146,4,5,"[4, 1, 3]",3,0.6,0.6,"{4: 1.0, 1: 1.0, 3: 1.0}",,,
1753380909.0676653,5,5,"[4, 2, 3]",3,0.6,0.6,"{4: 1.0, 2: 1.0, 3: 1.0}",,,
1753380918.0678387,6,5,"[2, 4, 1]",3,0.6,0.6,"{2: 1.0, 4: 1.0, 1: 1.0}",,,
1753380927.1761298,7,5,"[4, 0, 3]",3,0.6,0.6,"{4: 1.0, 0: 1.0, 3: 1.0}",,,
1753380936.4440482,8,5,"[0, 3, 2]",3,0.6,0.6,"{0: 1.0, 3: 1.0, 2: 1.0}",,,
1753380945.9538364,9,5,"[3, 0, 1]",3,0.6,0.6,"{3: 1.0, 0: 1.0, 1: 1.0}",,,
1753380955.601494,10,5,"[0, 2, 1]",3,0.6,0.6,"{0: 1.0, 2: 1.0, 1: 1.0}",,,
