edge,weight
0-1,105.41
0-2,2211.91
0-3,83.87
0-4,4500.64
0-5,455.72
0-6,4386.83
0-7,106.61
0-8,1165.5
0-9,580.76
1-2,111.14
1-3,1967.54
1-4,2282.29
1-5,1848.79
1-6,593.25
1-7,4963.53
1-8,874.87
1-9,2056.39
2-3,800.65
2-4,1001.32
2-5,4049.39
2-6,1116.0
2-7,439.37
2-8,1958.24
2-9,852.69
3-4,1997.25
3-5,96.9
3-6,517.29
3-7,1014.87
3-8,4294.8
3-9,80.47
4-5,1817.87
4-6,2090.74
4-7,1167.28
4-8,1017.52
4-9,535.58
5-6,87.57
5-7,1171.05
5-8,910.94
5-9,4108.14
6-7,2114.91
6-8,1032.65
6-9,2376.45
7-8,2043.24
7-9,103.2
8-9,5378.72
