node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,regional,HIPAA_compliant,Rochester,USA,radiology,2000,public,mayo_clinic,tier1_hospital,north_america,3118,America/Chicago
1,regional,HIPAA_compliant,Baltimore,USA,oncology,1957,mixed,johns_hopkins,tier2_hospital,europe,4341,America/New_York
2,regional,FedRAMP,Palo Alto,USA,cardiology,1966,private,stanford_med,research_center,asia_pacific,1463,America/Los_Angeles
3,international,HIPAA_compliant,Boston,USA,neurology,1961,public,mass_general,mobile_unit,south_america,1401,America/New_York
4,regional,HIPAA_compliant,Los Angeles,USA,pathology,1991,research_grant,ucla_health,edge_device,africa,4306,America/Los_Angeles
5,regional,ISO27001,London,UK,radiology,2018,public,mayo_clinic,tier1_hospital,north_america,3449,Europe/London
6,local,ISO27001,Paris,France,oncology,1977,mixed,johns_hopkins,tier2_hospital,europe,4406,Europe/Paris
7,regional,FedRAMP,Tokyo,Japan,cardiology,2011,mixed,stanford_med,research_center,asia_pacific,2534,Asia/Tokyo
8,national,FedRAMP,Singapore,Singapore,neurology,1953,mixed,mass_general,mobile_unit,south_america,1848,Asia/Singapore
9,national,ISO27001,Sydney,Australia,pathology,1996,private,ucla_health,edge_device,africa,1387,Australia/Sydney
