node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,local,4,512,tier1_hospital,0.987,standard,20000
1,clinic_001,1000,tier_2,32,PIPEDA,8,256,tier2_hospital,0.941,critical,5000
2,research_center_002,20000,tier_3,256,HIPAA,16,256,research_center,0.981,high,50000
3,mobile_unit_003,100,tier_1,16,PIPEDA,2,32,mobile_unit,0.865,standard,5000
4,edge_device_004,50,tier_2,8,GDPR,0,16,edge_device,0.757,standard,1000
5,hospital_005,2000,tier_1,32,local,8,128,tier1_hospital,0.959,critical,20000
6,clinic_006,5000,tier_2,32,HIPAA,8,128,tier2_hospital,0.936,high,10000
7,research_center_007,5000,tier_3,256,PIPEDA,32,1024,research_center,0.999,standard,50000
8,mobile_unit_008,500,tier_1,8,PIPEDA,2,64,mobile_unit,0.882,standard,5000
9,edge_device_009,50,tier_2,2,GDPR,1,16,edge_device,0.834,high,1000
