node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,local,4,128,tier1_hospital,0.992,high,20000
1,clinic_001,5000,tier_2,16,PIPEDA,8,128,tier2_hospital,0.959,critical,5000
2,research_center_002,5000,tier_3,128,GDPR,32,512,research_center,0.994,high,20000
3,mobile_unit_003,500,tier_1,4,GDPR,2,64,mobile_unit,0.857,critical,1000
4,edge_device_004,500,tier_2,4,GDPR,1,16,edge_device,0.807,critical,500
5,hospital_005,5000,tier_1,32,PIPEDA,16,512,tier1_hospital,0.963,critical,50000
6,clinic_006,5000,tier_2,32,local,4,64,tier2_hospital,0.915,standard,5000
7,research_center_007,10000,tier_3,128,HIPAA,16,1024,research_center,0.991,standard,100000
8,mobile_unit_008,1000,tier_1,16,local,2,64,mobile_unit,0.768,standard,5000
9,edge_device_009,50,tier_2,8,PIPEDA,1,32,edge_device,0.887,standard,500
