round_num,node_0,node_1,node_2,node_3,node_4
1,3.306853771209717,3.8243889808654785,3.306853771209717,3.7265164852142334,3.306853771209717
2,3.7957797050476074,3.4111850261688232,3.4111850261688232,4.143653392791748,3.4111850261688232
3,4.0534348487854,4.286622524261475,3.5660743713378906,3.5660743713378906,3.5660743713378906
4,3.764474868774414,4.4334564208984375,4.275845050811768,3.764474868774414,3.764474868774414
5,4.422712802886963,3.945791006088257,3.945791006088257,4.691586017608643,3.945791006088257
6,4.158625602722168,4.158625602722168,4.158625602722168,4.847151279449463,4.771745681762695
7,4.393085479736328,4.393085479736328,4.393085479736328,5.04728889465332,4.95634126663208
8,4.619678020477295,4.619678020477295,5.017352104187012,4.619678020477295,5.10655403137207
9,4.75567102432251,5.244156360626221,5.139095306396484,4.75567102432251,4.75567102432251
10,4.896803855895996,5.381446361541748,4.896803855895996,5.540791988372803,4.896803855895996
