node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,PIPEDA,8,512,tier1_hospital,0.96,critical,10000
1,clinic_001,1000,tier_2,32,local,8,64,tier2_hospital,0.912,standard,10000
2,research_center_002,5000,tier_3,128,GDPR,8,512,research_center,0.985,high,100000
3,mobile_unit_003,500,tier_1,8,local,2,16,mobile_unit,0.766,high,1000
4,edge_device_004,500,tier_2,4,PIPEDA,1,16,edge_device,0.758,high,500
5,hospital_005,10000,tier_1,32,local,8,512,tier1_hospital,0.977,critical,10000
6,clinic_006,5000,tier_2,16,local,8,64,tier2_hospital,0.914,standard,5000
7,research_center_007,5000,tier_3,64,PIPEDA,16,512,research_center,0.983,standard,20000
8,mobile_unit_008,1000,tier_1,16,PIPEDA,1,64,mobile_unit,0.827,standard,1000
9,edge_device_009,100,tier_2,2,local,0,32,edge_device,0.835,high,500
