edge,weight
0-1,908.9
0-2,599.8
0-3,995.03
0-4,599.64
0-5,1067.78
0-6,495.45
0-7,116.53
0-8,4849.96
0-9,4222.19
1-2,4781.97
1-3,5130.87
1-4,119.55
1-5,1088.9
1-6,1801.05
1-7,1770.25
1-8,946.15
1-9,119.13
2-3,1123.91
2-4,1093.1
2-5,811.56
2-6,1106.26
2-7,1955.18
2-8,846.66
2-9,1910.91
3-4,993.29
3-5,111.21
3-6,978.07
3-7,87.63
3-8,947.19
3-9,580.49
4-5,117.11
4-6,96.86
4-7,1134.63
4-8,112.01
4-9,119.31
5-6,1771.72
5-7,1861.25
5-8,551.76
5-9,5422.84
6-7,1933.66
6-8,538.05
6-9,5605.17
7-8,5920.66
7-9,931.85
8-9,2066.95
