node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,HIPAA,16,512,tier1_hospital,0.988,standard,10000
1,clinic_001,1000,tier_2,32,HIPAA,4,256,tier2_hospital,0.908,high,20000
2,research_center_002,10000,tier_3,128,HIPAA,16,256,research_center,1.0,standard,100000
3,mobile_unit_003,500,tier_1,8,GDPR,2,32,mobile_unit,0.802,high,1000
4,edge_device_004,100,tier_2,8,PIPEDA,1,16,edge_device,0.755,standard,1000
5,hospital_005,2000,tier_1,64,HIPAA,8,256,tier1_hospital,0.95,standard,20000
6,clinic_006,2000,tier_2,32,GDPR,8,64,tier2_hospital,0.963,critical,5000
7,research_center_007,10000,tier_3,256,HIPAA,8,512,research_center,1.0,high,20000
8,mobile_unit_008,1000,tier_1,16,local,2,64,mobile_unit,0.752,standard,1000
9,edge_device_009,50,tier_2,8,HIPAA,0,8,edge_device,0.86,high,2000
10,hospital_010,10000,tier_1,128,PIPEDA,4,128,tier1_hospital,0.988,standard,10000
11,clinic_011,5000,tier_2,64,HIPAA,8,128,tier2_hospital,0.903,critical,10000
12,research_center_012,10000,tier_3,128,PIPEDA,32,1024,research_center,0.992,critical,100000
13,mobile_unit_013,500,tier_1,4,PIPEDA,2,16,mobile_unit,0.875,high,5000
14,edge_device_014,500,tier_2,4,GDPR,0,16,edge_device,0.829,standard,500
15,hospital_015,5000,tier_1,32,HIPAA,16,512,tier1_hospital,0.99,high,20000
16,clinic_016,2000,tier_2,32,GDPR,4,64,tier2_hospital,0.968,high,20000
17,research_center_017,10000,tier_3,256,PIPEDA,32,256,research_center,0.984,standard,20000
18,mobile_unit_018,1000,tier_1,8,PIPEDA,1,16,mobile_unit,0.825,standard,5000
19,edge_device_019,500,tier_2,8,GDPR,0,8,edge_device,0.818,standard,2000
