node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,ISO27001,radiology,1989,research_grant,mayo_clinic,tier1_hospital,3217
1,national,HIPAA_compliant,oncology,1998,mixed,johns_hopkins,tier2_hospital,167
2,national,SOC2,cardiology,2019,public,stanford_med,research_center,358
3,international,HIPAA_compliant,neurology,2001,mixed,mass_general,mobile_unit,1114
4,local,FedRAMP,pathology,2002,private,ucla_health,edge_device,4226
5,local,FedRAMP,radiology,1968,research_grant,mayo_clinic,tier1_hospital,745
6,international,FedRAMP,oncology,2020,mixed,johns_hopkins,tier2_hospital,2566
7,local,ISO27001,cardiology,1956,private,stanford_med,research_center,2369
8,national,FedRAMP,neurology,1990,research_grant,mass_general,mobile_unit,3734
9,regional,ISO27001,pathology,1963,mixed,ucla_health,edge_device,4783
10,international,HIPAA_compliant,radiology,1951,public,mayo_clinic,tier1_hospital,3381
11,regional,FedRAMP,oncology,1982,private,johns_hopkins,tier2_hospital,3912
12,regional,FedRAMP,cardiology,1961,public,stanford_med,research_center,4992
13,international,ISO27001,neurology,1993,mixed,mass_general,mobile_unit,3920
14,national,ISO27001,pathology,2010,public,ucla_health,edge_device,1300
15,national,SOC2,radiology,1955,mixed,mayo_clinic,tier1_hospital,260
16,international,SOC2,oncology,1972,public,johns_hopkins,tier2_hospital,2189
17,national,SOC2,cardiology,2015,research_grant,stanford_med,research_center,2212
18,national,ISO27001,neurology,1988,private,mass_general,mobile_unit,2036
19,national,SOC2,pathology,1983,private,ucla_health,edge_device,145
