node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,HIPAA,8,512,tier1_hospital,0.976,high,20000
1,clinic_001,5000,tier_2,64,local,8,64,tier2_hospital,0.921,standard,20000
2,research_center_002,10000,tier_3,256,PIPEDA,8,1024,research_center,0.988,standard,20000
3,mobile_unit_003,500,tier_1,4,GDPR,2,16,mobile_unit,0.791,critical,5000
4,edge_device_004,50,tier_2,8,local,1,32,edge_device,0.712,high,2000
5,hospital_005,2000,tier_1,128,GDPR,16,128,tier1_hospital,0.993,standard,50000
6,clinic_006,1000,tier_2,32,HIPAA,8,64,tier2_hospital,0.916,standard,10000
7,research_center_007,5000,tier_3,64,HIPAA,16,512,research_center,0.983,standard,20000
8,mobile_unit_008,500,tier_1,16,local,1,64,mobile_unit,0.86,standard,1000
9,edge_device_009,500,tier_2,2,GDPR,0,16,edge_device,0.896,high,500
10,hospital_010,10000,tier_1,128,PIPEDA,8,128,tier1_hospital,0.955,critical,20000
11,clinic_011,1000,tier_2,64,PIPEDA,2,64,tier2_hospital,0.951,critical,5000
12,research_center_012,10000,tier_3,64,local,32,1024,research_center,0.988,high,100000
13,mobile_unit_013,100,tier_1,8,HIPAA,2,32,mobile_unit,0.783,standard,1000
14,edge_device_014,50,tier_2,4,GDPR,1,16,edge_device,0.759,critical,1000
15,hospital_015,5000,tier_1,128,local,16,128,tier1_hospital,0.956,standard,20000
16,clinic_016,5000,tier_2,32,HIPAA,2,128,tier2_hospital,0.901,high,5000
17,research_center_017,5000,tier_3,256,GDPR,32,1024,research_center,0.981,standard,100000
18,mobile_unit_018,100,tier_1,16,HIPAA,1,64,mobile_unit,0.9,high,2000
19,edge_device_019,500,tier_2,4,local,1,8,edge_device,0.887,standard,2000
