node_id,latitude,longitude
0,44.058568,-92.435734
1,39.273386,-76.615048
2,37.408505,-122.120848
3,42.317527,-71.059547
4,34.066856,-118.259981
5,51.496195,-0.127706
6,48.84694,2.320343
7,35.684892,139.609429
8,1.32509,103.846893
9,-33.872531,151.22567
10,44.028875,-92.488221
11,39.292095,-76.5879
12,37.397685,-122.115877
13,42.377622,-71.022847
14,34.068199,-118.281577
15,51.537279,-0.156762
16,48.873353,2.324672
17,35.692873,139.696035
18,1.360506,103.851973
19,-33.917099,151.208805
