node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,national,ISO27001,radiology,1983,public,mayo_clinic,tier1_hospital,3860
1,international,ISO27001,oncology,1989,private,johns_hopkins,tier2_hospital,3150
2,local,HIPAA_compliant,cardiology,1950,mixed,stanford_med,research_center,2953
3,international,HIPAA_compliant,neurology,1958,mixed,mass_general,mobile_unit,4913
4,international,SOC2,pathology,1998,mixed,ucla_health,edge_device,2244
5,international,HIPAA_compliant,radiology,2011,mixed,mayo_clinic,tier1_hospital,2121
6,regional,ISO27001,oncology,2003,public,johns_hopkins,tier2_hospital,2279
7,local,HIPAA_compliant,cardiology,1960,private,stanford_med,research_center,4289
8,regional,FedRAMP,neurology,2019,public,mass_general,mobile_unit,4106
9,local,ISO27001,pathology,1950,mixed,ucla_health,edge_device,4746
10,regional,SOC2,radiology,1952,public,mayo_clinic,tier1_hospital,1767
11,national,FedRAMP,oncology,2009,mixed,johns_hopkins,tier2_hospital,2677
12,local,SOC2,cardiology,1985,private,stanford_med,research_center,3485
13,national,FedRAMP,neurology,2006,mixed,mass_general,mobile_unit,1648
14,national,ISO27001,pathology,2014,research_grant,ucla_health,edge_device,62
