edge,weight
0-1,116.2
0-2,109.11
0-3,2158.49
0-4,4760.41
0-5,111.88
0-6,546.38
0-7,439.47
0-8,582.01
0-9,1840.41
1-2,948.32
1-3,104.93
1-4,113.34
1-5,816.9
1-6,1743.3
1-7,109.78
1-8,5748.16
1-9,400.48
2-3,466.33
2-4,112.1
2-5,115.2
2-6,429.11
2-7,499.27
2-8,4568.12
2-9,483.11
3-4,94.94
3-5,1069.38
3-6,2249.49
3-7,2219.73
3-8,500.39
3-9,108.56
4-5,4982.62
4-6,2246.07
4-7,114.6
4-8,2105.68
4-9,115.55
5-6,509.26
5-7,1149.09
5-8,4956.0
5-9,1170.96
6-7,433.99
6-8,2185.67
6-9,4032.01
7-8,2233.45
7-9,95.93
8-9,512.23
