node_id,latitude,longitude
0,43.99602,-92.442721
1,39.240971,-76.59757
2,37.428435,-122.164181
3,42.384842,-71.07863
4,34.002226,-118.220549
5,51.548248,-0.098315
6,48.883947,2.333268
7,35.636739,139.618374
8,1.355085,103.84077
9,-33.838786,151.229011
10,43.973822,-92.463806
11,39.248959,-76.644245
12,37.400798,-122.126279
13,42.323527,-71.092097
14,34.034013,-118.271403
15,51.505045,-0.102242
16,48.868113,2.317098
17,35.6754,139.668898
18,1.365353,103.775129
19,-33.885711,151.237715
