timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753394865.4913065,1,20,"[1, 9, 17, 6]",4,0.2,0.2,"{1: 1.0, 9: 1.0, 17: 1.0, 6: 1.0}",,,
1753394888.2883315,2,20,"[5, 4, 19, 18]",4,0.2,0.2,"{5: 1.0, 4: 1.0, 19: 1.0, 18: 1.0}",,,
1753394911.632028,3,20,"[15, 10, 6, 9]",4,0.2,0.2,"{15: 1.0, 10: 1.0, 6: 1.0, 9: 1.0}",,,
1753394931.7946296,4,20,"[11, 7, 18, 9]",4,0.2,0.2,"{11: 1.0, 7: 1.0, 18: 1.0, 9: 1.0}",,,
1753394953.508134,5,20,"[5, 14, 6, 3]",4,0.2,0.2,"{5: 1.0, 14: 1.0, 6: 1.0, 3: 1.0}",,,
1753394975.0360518,6,20,"[16, 7, 8, 5]",4,0.2,0.2,"{16: 1.0, 7: 1.0, 8: 1.0, 5: 1.0}",,,
1753394996.8335671,7,20,"[5, 2, 11, 8]",4,0.2,0.2,"{5: 1.0, 2: 1.0, 11: 1.0, 8: 1.0}",,,
1753395016.8560424,8,20,"[0, 2, 4, 16]",4,0.2,0.2,"{0: 1.0, 2: 1.0, 4: 1.0, 16: 1.0}",,,
1753395039.5860147,9,20,"[17, 1, 5, 12]",4,0.2,0.2,"{17: 1.0, 1: 1.0, 5: 1.0, 12: 1.0}",,,
1753395063.2242765,10,20,"[15, 0, 8, 3]",4,0.2,0.2,"{15: 1.0, 0: 1.0, 8: 1.0, 3: 1.0}",,,
