accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,,3310.0,,,,,,,,NetworkStructureEvent,,,0.4,,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,,5,,,,,,0,,,,,,network_structure,,,,,,1753347496.980006,star,,,,,204,,4,,26,1736,
,,,,,,,,,,,,,InitialStateEvent,,,,,,,5,,,,,,,,,,,,0,,,,,,initial_state,,,,,,1753347496.9802294,star,,,,,,,,,,,
0.0757,,,,,,,,,,,,,EvaluationEvent,2.3182243633270265,"{'loss': 2.3182243633270265, 'accuracy': 0.0757}",,,,,,,,,,,,,,,,,0,,,,,,evaluation,,,,,,1753347499.9491923,,,,,,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,1,,,,,,local_training,,,,,,1753347499.949385,,,,,,,,,3,,,
,,0.2,,,,,0.2,,,,{4: 1.0},,SamplingEvent,,,,,,,,,1,,,,,,,,,,1,[4],,,,,resource_sampling,,,,,,1753347499.9495525,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,1,,,,0,,resource_computation_time,,,,,15.720416784286499,1753347515.669875,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,4,1,,,,"{0: {'norm': 3.227954387664795, 'mean': 0.01676211506128311, 'std': 0.18946903944015503}, 1: {'norm': 3.227954387664795, 'mean': 0.01676211506128311, 'std': 0.18946903944015503}, 2: {'norm': 3.227954387664795, 'mean': 0.01676211506128311, 'std': 0.18946903944015503}, 3: {'norm': 3.227954387664795, 'mean': 0.01676211506128311, 'std': 0.18946903944015503}, 4: {'norm': 3.2570340633392334, 'mean': 0.018962791189551353, 'std': 0.19098347425460815}}",,,,1,,,,,"1,2,3,4",parameter_transfer,,0,,,,1753347515.7339149,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,5,,,,,,,,"0,1,2,3,4",,,1,,,,,,aggregation,FedAvg,,,,,1753347515.7341216,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,1,,,,,,resource_aggregation_cost,,,,,,1753347515.7976844,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,5.854315210273549,,,,,1,,,,,,model_update,,,,,,1753347515.82293,,,,,,,,,,,,"0,1,2,3,4"
