node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,HIPAA,16,512,tier1_hospital,0.96,high,50000
1,clinic_001,1000,tier_2,64,PIPEDA,4,64,tier2_hospital,0.903,high,5000
2,research_center_002,5000,tier_3,128,local,16,512,research_center,0.999,critical,20000
3,mobile_unit_003,100,tier_1,8,HIPAA,2,32,mobile_unit,0.863,high,5000
4,edge_device_004,100,tier_2,2,GDPR,1,8,edge_device,0.824,high,500
5,hospital_005,10000,tier_1,128,HIPAA,16,512,tier1_hospital,0.96,high,10000
6,clinic_006,2000,tier_2,16,HIPAA,2,128,tier2_hospital,0.946,critical,10000
7,research_center_007,10000,tier_3,256,GDPR,8,512,research_center,0.991,standard,20000
8,mobile_unit_008,1000,tier_1,16,local,1,16,mobile_unit,0.855,high,5000
9,edge_device_009,100,tier_2,2,local,1,16,edge_device,0.803,high,1000
10,hospital_010,5000,tier_1,128,GDPR,8,512,tier1_hospital,0.969,critical,10000
11,clinic_011,5000,tier_2,16,local,4,64,tier2_hospital,0.973,critical,20000
12,research_center_012,5000,tier_3,256,GDPR,32,1024,research_center,0.99,high,50000
13,mobile_unit_013,1000,tier_1,8,HIPAA,2,64,mobile_unit,0.889,critical,5000
14,edge_device_014,100,tier_2,4,local,0,8,edge_device,0.712,high,500
15,hospital_015,10000,tier_1,128,GDPR,4,256,tier1_hospital,0.97,high,20000
16,clinic_016,1000,tier_2,16,HIPAA,4,64,tier2_hospital,0.905,high,5000
17,research_center_017,10000,tier_3,256,local,8,256,research_center,0.986,standard,100000
18,mobile_unit_018,500,tier_1,8,PIPEDA,2,64,mobile_unit,0.851,critical,2000
19,edge_device_019,50,tier_2,2,local,1,32,edge_device,0.731,critical,2000
