accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,,2320.0,,,,,,,,NetworkStructureEvent,,,0.4,,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,,5,,,,,,0,,,,,,network_structure,,,,,,1753372450.010934,star,,,,,228,,4,,27,1688,
,,,,,,,,,,,,,InitialStateEvent,,,,,,,5,,,,,,,,,,,,0,,,,,,initial_state,,,,,,1753372450.0111766,star,,,,,,,,,,,
0.0991,,,,,,,,,,,,,EvaluationEvent,2.3797681816101073,"{'loss': 2.3797681816101073, 'accuracy': 0.0991}",,,,,,,,,,,,,,,,,0,,,,,,evaluation,,,,,,1753372454.3824813,,,,,,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,1,,,,,,local_training,,,,,,1753372454.3826826,,,,,,,,,3,,,
,,1.0,,,,,1.0,,,,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,SamplingEvent,,,,,,,,,5,,,,,,,,,,1,"[0, 1, 2, 3, 4]",,,,,resource_sampling,,,,,,1753372454.38275,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,1,,,,0,,resource_computation_time,,,,,27.388500690460205,1753372481.7712655,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,4,1,,,,"{0: {'norm': 3.393095016479492, 'mean': 0.003280569100752473, 'std': 0.11538881808519363}, 1: {'norm': 3.39972186088562, 'mean': 0.002991399494931102, 'std': 0.11562220007181168}, 2: {'norm': 3.4127585887908936, 'mean': -0.0001864356017904356, 'std': 0.11610426008701324}, 3: {'norm': 3.457275152206421, 'mean': 0.004270162433385849, 'std': 0.1175413578748703}, 4: {'norm': 3.4415082931518555, 'mean': 0.003434402635321021, 'std': 0.11703211069107056}}",,,,1,,,,,"1,2,3,4",parameter_transfer,,0,,,,1753372481.8756175,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,5,,,,,,,,"0,1,2,3,4",,,1,,,,,,aggregation,FedAvg,,,,,1753372481.875745,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,1,,,,,,resource_aggregation_cost,,,,,,1753372481.98693,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,22.733638002362824,,,,,1,,,,,,model_update,,,,,,1753372482.021498,,,,,,,,,,,,"0,1,2,3,4"
0.1629,,,,,,,,,,,,,EvaluationEvent,2.2565142349243166,"{'loss': 2.2565142349243166, 'accuracy': 0.1629}",,,,,,,,,,,,,,,,,1,,,,,,evaluation,,,,,,1753372482.8614266,,,,,,,,,,,,
,,,,,,,,0.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.005720034651121414,28.478848457336426,1,,5,,,,resource_resource_summary,,,,5.6957696914672855,,1753372482.8614936,,,5,39191640,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,2,,,,,,local_training,,,,,,1753372482.9745564,,,,,,,,,3,,,
,,1.0,,,,,1.0,,,,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,SamplingEvent,,,,,,,,,5,,,,,,,,,,2,"[0, 1, 2, 3, 4]",,,,,resource_sampling,,,,,,1753372482.9746082,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,2,,,,0,,resource_computation_time,,,,,7.1266844272613525,1753372490.1013038,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,4,1,,,,"{0: {'norm': 3.376868486404419, 'mean': 0.0034370128996670246, 'std': 0.11483197659254074}, 1: {'norm': 3.3107969760894775, 'mean': 0.002848432632163167, 'std': 0.11259957402944565}, 2: {'norm': 3.365506172180176, 'mean': 0.0030339902732521296, 'std': 0.11445663869380951}, 3: {'norm': 3.374379873275757, 'mean': 0.003514629090204835, 'std': 0.11474492400884628}, 4: {'norm': 3.3599419593811035, 'mean': 0.0023202344309538603, 'std': 0.11428399384021759}}",,,,2,,,,,"1,2,3,4",parameter_transfer,,0,,,,1753372490.1906788,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,5,,,,,,,,"0,1,2,3,4",,,2,,,,,,aggregation,FedAvg,,,,,1753372490.1907926,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,2,,,,,,resource_aggregation_cost,,,,,,1753372490.277413,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,12.897465724895943,,,,,2,,,,,,model_update,,,,,,1753372490.3102412,,,,,,,,,,,,"0,1,2,3,4"
0.1949,,,,,,,,,,,,,EvaluationEvent,2.153164709854126,"{'loss': 2.153164709854126, 'accuracy': 0.1949}",,,,,,,,,,,,,,,,,2,,,,,,evaluation,,,,,,1753372491.0537276,,,,,,,,,,,,
,,,,,,,,0.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.024123442024833807,8.079278230667114,2,,5,,,,resource_resource_summary,,,,1.6158556461334228,,1753372491.0537877,,,5,39191640,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,3,,,,,,local_training,,,,,,1753372491.1747804,,,,,,,,,3,,,
,,1.0,,,,,1.0,,,,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,SamplingEvent,,,,,,,,,5,,,,,,,,,,3,"[0, 1, 2, 3, 4]",,,,,resource_sampling,,,,,,1753372491.1748407,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,3,,,,0,,resource_computation_time,,,,,6.871492147445679,1753372498.0463405,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,4,1,,,,"{0: {'norm': 3.3756470680236816, 'mean': 0.002884496236220002, 'std': 0.11480560898780823}, 1: {'norm': 3.3315303325653076, 'mean': 0.0032359135802835226, 'std': 0.11329476535320282}, 2: {'norm': 3.373101234436035, 'mean': 0.003277006559073925, 'std': 0.11470843106508255}, 3: {'norm': 3.351270914077759, 'mean': 0.0021648311521857977, 'std': 0.11399199813604355}, 4: {'norm': 3.3473498821258545, 'mean': 0.001439720974303782, 'std': 0.1138700544834137}}",,,,3,,,,,"1,2,3,4",parameter_transfer,,0,,,,1753372498.1248722,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,5,,,,,,,,"0,1,2,3,4",,,3,,,,,,aggregation,FedAvg,,,,,1753372498.1249788,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,3,,,,,,resource_aggregation_cost,,,,,,1753372498.2070029,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,12.895925773931936,,,,,3,,,,,,model_update,,,,,,1753372498.2396386,,,,,,,,,,,,"0,1,2,3,4"
0.2224,,,,,,,,,,,,,EvaluationEvent,2.1390045440673826,"{'loss': 2.1390045440673826, 'accuracy': 0.2224}",,,,,,,,,,,,,,,,,3,,,,,,evaluation,,,,,,1753372498.9791727,,,,,,,,,,,,
,,,,,,,,0.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.028496392104802672,7.804496765136719,3,,5,,,,resource_resource_summary,,,,1.5608993530273438,,1753372498.9792252,,,5,39191640,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,4,,,,,,local_training,,,,,,1753372499.1156633,,,,,,,,,3,,,
,,1.0,,,,,1.0,,,,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,SamplingEvent,,,,,,,,,5,,,,,,,,,,4,"[0, 1, 2, 3, 4]",,,,,resource_sampling,,,,,,1753372499.1157148,,5,,,,,,,,,,
