edge,weight
0-1,115.72
0-2,103.36
0-3,2213.86
0-4,466.06
0-5,891.44
0-6,411.76
0-7,2014.41
0-8,900.53
0-9,101.07
0-10,935.17
0-11,4700.47
0-12,448.97
0-13,1810.29
0-14,930.37
1-2,4565.05
1-3,424.6
1-4,1956.13
1-5,117.51
1-6,2299.5
1-7,2118.37
1-8,2270.42
1-9,2162.86
1-10,2065.67
1-11,4789.38
1-12,102.15
1-13,456.97
1-14,503.72
2-3,492.05
2-4,443.99
2-5,593.98
2-6,99.03
2-7,2075.69
2-8,1069.24
2-9,894.4
2-10,5791.31
2-11,498.92
2-12,4396.9
2-13,410.81
2-14,560.94
3-4,108.83
3-5,111.53
3-6,100.4
3-7,2201.48
3-8,1623.93
3-9,2000.05
3-10,400.85
3-11,497.25
3-12,101.08
3-13,1040.22
3-14,564.28
4-5,2244.89
4-6,5595.85
4-7,4189.22
4-8,587.86
4-9,812.18
4-10,424.01
4-11,4418.7
4-12,513.24
4-13,535.89
4-14,83.39
5-6,849.84
5-7,103.38
5-8,805.76
5-9,1041.24
5-10,103.45
5-11,110.83
5-12,506.57
5-13,4264.78
5-14,1136.66
6-7,1628.23
6-8,85.16
6-9,1619.72
6-10,4145.3
6-11,95.48
6-12,88.04
6-13,501.3
6-14,2095.77
7-8,115.23
7-9,4190.55
7-10,2282.54
7-11,4057.0
7-12,541.03
7-13,546.59
7-14,109.22
8-9,460.02
8-10,517.03
8-11,4517.4
8-12,853.25
8-13,116.73
8-14,5729.96
9-10,585.19
9-11,4011.62
9-12,982.13
9-13,464.24
9-14,1672.42
10-11,2303.71
10-12,112.26
10-13,421.33
10-14,5674.18
11-12,913.5
11-13,99.78
11-14,4379.46
12-13,1970.98
12-14,523.69
13-14,473.77
