node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,local,4,256,tier1_hospital,0.994,standard,10000
1,clinic_001,5000,tier_2,32,local,8,128,tier2_hospital,0.963,high,5000
2,research_center_002,5000,tier_3,128,PIPEDA,8,1024,research_center,0.991,critical,50000
3,mobile_unit_003,100,tier_1,4,GDPR,2,32,mobile_unit,0.805,high,1000
4,edge_device_004,50,tier_2,4,HIPAA,1,32,edge_device,0.776,critical,500
5,hospital_005,10000,tier_1,128,local,4,128,tier1_hospital,0.968,critical,10000
6,clinic_006,2000,tier_2,16,PIPEDA,2,128,tier2_hospital,0.933,critical,20000
7,research_center_007,5000,tier_3,64,HIPAA,32,1024,research_center,0.984,high,50000
8,mobile_unit_008,500,tier_1,16,GDPR,1,16,mobile_unit,0.859,critical,1000
9,edge_device_009,500,tier_2,2,GDPR,0,8,edge_device,0.719,standard,2000
