node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,GDPR,8,256,tier1_hospital,0.961,critical,10000
1,clinic_001,5000,tier_2,16,local,8,64,tier2_hospital,0.912,high,5000
2,research_center_002,5000,tier_3,128,GDPR,16,256,research_center,0.985,standard,20000
3,mobile_unit_003,1000,tier_1,8,GDPR,1,16,mobile_unit,0.836,critical,2000
4,edge_device_004,500,tier_2,8,HIPAA,1,8,edge_device,0.809,critical,500
5,hospital_005,10000,tier_1,32,local,4,128,tier1_hospital,0.957,high,20000
6,clinic_006,5000,tier_2,16,HIPAA,8,64,tier2_hospital,0.971,standard,10000
7,research_center_007,20000,tier_3,128,HIPAA,32,512,research_center,0.99,standard,50000
8,mobile_unit_008,1000,tier_1,4,PIPEDA,2,16,mobile_unit,0.828,standard,2000
9,edge_device_009,100,tier_2,8,HIPAA,0,32,edge_device,0.882,critical,1000
10,hospital_010,10000,tier_1,128,GDPR,8,512,tier1_hospital,0.968,critical,50000
11,clinic_011,5000,tier_2,16,PIPEDA,4,256,tier2_hospital,0.949,critical,20000
12,research_center_012,5000,tier_3,128,PIPEDA,8,256,research_center,0.992,high,20000
13,mobile_unit_013,500,tier_1,16,HIPAA,2,32,mobile_unit,0.761,standard,2000
14,edge_device_014,500,tier_2,2,GDPR,0,16,edge_device,0.82,critical,2000
15,hospital_015,5000,tier_1,32,PIPEDA,4,512,tier1_hospital,0.973,standard,20000
16,clinic_016,1000,tier_2,16,HIPAA,4,256,tier2_hospital,0.916,critical,5000
17,research_center_017,5000,tier_3,64,GDPR,32,1024,research_center,0.983,high,100000
18,mobile_unit_018,500,tier_1,16,PIPEDA,2,16,mobile_unit,0.823,critical,2000
19,edge_device_019,100,tier_2,4,GDPR,0,8,edge_device,0.782,standard,500
