node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,HIPAA,4,512,tier1_hospital,0.96,high,50000
1,clinic_001,2000,tier_2,64,HIPAA,8,64,tier2_hospital,0.951,high,5000
2,research_center_002,10000,tier_3,128,GDPR,8,512,research_center,0.998,critical,100000
3,mobile_unit_003,500,tier_1,4,local,2,64,mobile_unit,0.845,standard,5000
4,edge_device_004,50,tier_2,4,PIPEDA,0,8,edge_device,0.887,high,1000
5,hospital_005,10000,tier_1,64,local,4,512,tier1_hospital,0.972,high,50000
6,clinic_006,2000,tier_2,32,PIPEDA,2,256,tier2_hospital,0.933,critical,10000
7,research_center_007,10000,tier_3,128,HIPAA,8,512,research_center,0.997,standard,100000
8,mobile_unit_008,500,tier_1,16,local,1,32,mobile_unit,0.896,standard,1000
9,edge_device_009,100,tier_2,2,PIPEDA,0,16,edge_device,0.801,critical,1000
