edge,weight
0-1,4320.39
0-2,5131.29
0-3,935.71
0-4,1189.72
0-5,113.99
0-6,101.79
0-7,84.76
0-8,5870.05
0-9,91.65
0-10,452.22
0-11,510.52
0-12,414.13
0-13,1142.53
0-14,5967.3
1-2,942.56
1-3,114.79
1-4,441.63
1-5,101.32
1-6,117.92
1-7,1917.33
1-8,1623.11
1-9,413.32
1-10,5646.5
1-11,5516.33
1-12,5929.15
1-13,1607.4
1-14,541.15
2-3,547.1
2-4,91.83
2-5,1155.29
2-6,4668.11
2-7,4884.32
2-8,5426.75
2-9,114.13
2-10,87.89
2-11,2246.48
2-12,4496.31
2-13,855.03
2-14,927.86
3-4,2235.1
3-5,103.82
3-6,1115.02
3-7,4798.23
3-8,2388.32
3-9,598.8
3-10,457.51
3-11,988.18
3-12,2356.94
3-13,496.69
3-14,1015.71
4-5,98.94
4-6,414.05
4-7,117.75
4-8,558.15
4-9,473.95
4-10,80.16
4-11,1948.25
4-12,410.34
4-13,1941.63
4-14,1794.9
5-6,510.36
5-7,5336.38
5-8,802.29
5-9,1993.07
5-10,511.46
5-11,428.83
5-12,434.91
5-13,4083.52
5-14,469.52
6-7,1105.34
6-8,95.02
6-9,5308.72
6-10,113.8
6-11,4167.15
6-12,479.58
6-13,1054.39
6-14,4602.03
7-8,4338.82
7-9,1655.25
7-10,1809.78
7-11,459.64
7-12,989.81
7-13,96.9
7-14,4458.91
8-9,895.67
8-10,105.98
8-11,984.55
8-12,4686.74
8-13,976.39
8-14,1192.72
9-10,2254.93
9-11,1125.22
9-12,1839.19
9-13,1615.5
9-14,572.7
10-11,513.92
10-12,1113.66
10-13,427.76
10-14,102.5
11-12,118.02
11-13,1058.97
11-14,2123.8
12-13,2303.49
12-14,465.67
13-14,1653.04
