node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,HIPAA,4,256,tier1_hospital,0.974,high,50000
1,clinic_001,5000,tier_2,16,local,4,256,tier2_hospital,0.926,standard,10000
2,research_center_002,20000,tier_3,256,GDPR,32,256,research_center,0.996,standard,20000
3,mobile_unit_003,500,tier_1,8,GDPR,1,16,mobile_unit,0.785,high,2000
4,edge_device_004,500,tier_2,8,local,1,8,edge_device,0.793,high,500
5,hospital_005,2000,tier_1,32,local,4,256,tier1_hospital,0.964,high,10000
6,clinic_006,1000,tier_2,64,HIPAA,2,128,tier2_hospital,0.905,high,5000
7,research_center_007,20000,tier_3,64,GDPR,8,256,research_center,0.993,high,100000
8,mobile_unit_008,1000,tier_1,16,HIPAA,2,32,mobile_unit,0.847,critical,2000
9,edge_device_009,500,tier_2,2,HIPAA,0,16,edge_device,0.806,standard,500
10,hospital_010,10000,tier_1,64,PIPEDA,8,256,tier1_hospital,0.978,standard,50000
11,clinic_011,1000,tier_2,16,PIPEDA,2,64,tier2_hospital,0.968,high,5000
12,research_center_012,20000,tier_3,128,HIPAA,16,256,research_center,0.99,standard,100000
13,mobile_unit_013,500,tier_1,8,GDPR,1,32,mobile_unit,0.82,high,2000
14,edge_device_014,50,tier_2,4,HIPAA,1,16,edge_device,0.726,high,500
15,hospital_015,2000,tier_1,32,GDPR,4,128,tier1_hospital,0.959,high,10000
16,clinic_016,1000,tier_2,32,local,2,256,tier2_hospital,0.901,critical,20000
17,research_center_017,20000,tier_3,128,GDPR,32,256,research_center,0.989,standard,20000
18,mobile_unit_018,500,tier_1,4,local,2,32,mobile_unit,0.759,critical,2000
19,edge_device_019,500,tier_2,8,PIPEDA,0,8,edge_device,0.876,standard,500
20,hospital_020,5000,tier_1,32,GDPR,4,128,tier1_hospital,0.965,high,10000
21,clinic_021,5000,tier_2,16,HIPAA,8,128,tier2_hospital,0.923,critical,5000
22,research_center_022,10000,tier_3,256,GDPR,8,256,research_center,0.98,critical,50000
23,mobile_unit_023,500,tier_1,4,PIPEDA,2,32,mobile_unit,0.876,high,5000
24,edge_device_024,500,tier_2,2,local,0,16,edge_device,0.833,high,2000
25,hospital_025,10000,tier_1,128,HIPAA,8,256,tier1_hospital,0.959,critical,10000
26,clinic_026,5000,tier_2,64,GDPR,8,64,tier2_hospital,0.901,standard,20000
27,research_center_027,20000,tier_3,128,PIPEDA,8,1024,research_center,0.992,critical,20000
28,mobile_unit_028,1000,tier_1,16,PIPEDA,2,16,mobile_unit,0.81,high,2000
29,edge_device_029,500,tier_2,2,HIPAA,1,8,edge_device,0.837,high,1000
