node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.95,high,50000
1,clinic_001,2000,tier_2,32,local,4,64,tier2_hospital,0.969,critical,20000
2,research_center_002,20000,tier_3,64,local,8,512,research_center,0.991,critical,100000
3,mobile_unit_003,1000,tier_1,16,HIPAA,1,32,mobile_unit,0.816,critical,1000
4,edge_device_004,100,tier_2,8,PIPEDA,0,16,edge_device,0.79,critical,1000
5,hospital_005,2000,tier_1,64,local,16,512,tier1_hospital,0.99,standard,50000
6,clinic_006,1000,tier_2,16,HIPAA,2,128,tier2_hospital,0.961,high,5000
7,research_center_007,5000,tier_3,256,GDPR,8,256,research_center,0.996,standard,100000
8,mobile_unit_008,100,tier_1,4,GDPR,2,32,mobile_unit,0.834,critical,1000
9,edge_device_009,500,tier_2,2,HIPAA,1,32,edge_device,0.738,standard,1000
