edge,weight
0-1,1175.0
0-2,513.6
0-3,429.48
0-4,4362.2
0-5,5409.92
0-6,458.97
0-7,113.6
0-8,916.76
0-9,1197.06
0-10,108.17
0-11,5774.96
0-12,539.28
0-13,567.37
0-14,829.34
1-2,831.72
1-3,92.02
1-4,105.01
1-5,1108.62
1-6,845.52
1-7,5351.07
1-8,1136.26
1-9,575.91
1-10,442.54
1-11,2110.77
1-12,2002.22
1-13,91.79
1-14,845.06
2-3,5096.96
2-4,5216.77
2-5,4242.02
2-6,472.28
2-7,1183.15
2-8,4278.88
2-9,4022.81
2-10,2131.98
2-11,2230.17
2-12,112.94
2-13,903.02
2-14,953.67
3-4,4947.24
3-5,1100.33
3-6,4775.05
3-7,2395.7
3-8,597.51
3-9,118.74
3-10,5034.37
3-11,566.86
3-12,476.25
3-13,1831.69
3-14,115.34
4-5,84.11
4-6,2064.53
4-7,1063.06
4-8,1062.85
4-9,4955.78
4-10,4316.29
4-11,85.84
4-12,4097.67
4-13,2249.89
4-14,2081.84
5-6,1011.45
5-7,512.21
5-8,1651.99
5-9,1171.21
5-10,96.41
5-11,867.02
5-12,451.12
5-13,2246.62
5-14,505.28
6-7,4898.61
6-8,105.64
6-9,81.83
6-10,2210.02
6-11,577.53
6-12,840.08
6-13,92.6
6-14,405.94
7-8,421.51
7-9,856.64
7-10,975.63
7-11,1717.5
7-12,1659.99
7-13,445.33
7-14,1903.46
8-9,1801.49
8-10,119.12
8-11,580.35
8-12,91.88
8-13,5219.74
8-14,1953.59
9-10,2070.88
9-11,1182.41
9-12,4955.42
9-13,878.68
9-14,1650.17
10-11,1176.73
10-12,5373.97
10-13,4585.0
10-14,84.75
11-12,564.2
11-13,2038.81
11-14,2060.81
12-13,917.77
12-14,5808.76
13-14,1766.48
