node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,HIPAA,4,512,tier1_hospital,0.966,high,50000
1,clinic_001,5000,tier_2,16,local,8,128,tier2_hospital,0.928,high,5000
2,research_center_002,5000,tier_3,256,HIPAA,32,256,research_center,0.984,standard,50000
3,mobile_unit_003,500,tier_1,16,local,1,32,mobile_unit,0.85,high,2000
4,edge_device_004,500,tier_2,8,PIPEDA,0,16,edge_device,0.703,critical,1000
5,hospital_005,10000,tier_1,128,PIPEDA,4,512,tier1_hospital,0.959,high,10000
6,clinic_006,2000,tier_2,64,local,4,128,tier2_hospital,0.974,critical,20000
7,research_center_007,5000,tier_3,256,local,16,256,research_center,0.999,standard,100000
8,mobile_unit_008,500,tier_1,4,local,1,32,mobile_unit,0.752,standard,1000
9,edge_device_009,100,tier_2,4,PIPEDA,1,32,edge_device,0.761,standard,1000
10,hospital_010,10000,tier_1,32,local,4,256,tier1_hospital,0.953,high,20000
11,clinic_011,2000,tier_2,64,GDPR,2,64,tier2_hospital,0.932,high,20000
12,research_center_012,5000,tier_3,256,GDPR,16,1024,research_center,0.993,standard,20000
13,mobile_unit_013,500,tier_1,8,PIPEDA,1,32,mobile_unit,0.873,standard,1000
14,edge_device_014,100,tier_2,2,local,1,32,edge_device,0.745,high,1000
15,hospital_015,2000,tier_1,32,GDPR,4,128,tier1_hospital,0.984,high,20000
16,clinic_016,2000,tier_2,32,GDPR,4,64,tier2_hospital,0.911,critical,20000
17,research_center_017,5000,tier_3,128,GDPR,8,512,research_center,0.987,standard,50000
18,mobile_unit_018,100,tier_1,16,GDPR,1,32,mobile_unit,0.876,high,1000
19,edge_device_019,100,tier_2,4,HIPAA,1,32,edge_device,0.799,critical,1000
