node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,ISO27001,radiology,1983,private,mayo_clinic,tier1_hospital,840
1,national,HIPAA_compliant,oncology,1985,mixed,johns_hopkins,tier2_hospital,4333
2,national,FedRAMP,cardiology,2010,research_grant,stanford_med,research_center,1533
3,national,SOC2,neurology,2001,public,mass_general,mobile_unit,4489
4,local,FedRAMP,pathology,1969,public,ucla_health,edge_device,3257
5,national,FedRAMP,radiology,2000,mixed,mayo_clinic,tier1_hospital,2429
6,local,FedRAMP,oncology,1962,mixed,johns_hopkins,tier2_hospital,3934
7,international,FedRAMP,cardiology,1982,mixed,stanford_med,research_center,854
8,local,HIPAA_compliant,neurology,1995,mixed,mass_general,mobile_unit,4342
9,local,ISO27001,pathology,1998,mixed,ucla_health,edge_device,720
