node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,local,8,512,tier1_hospital,0.977,high,20000
1,clinic_001,1000,tier_2,16,GDPR,4,64,tier2_hospital,0.907,standard,5000
2,research_center_002,20000,tier_3,64,local,32,512,research_center,0.99,standard,100000
3,mobile_unit_003,1000,tier_1,16,HIPAA,1,16,mobile_unit,0.889,standard,5000
4,edge_device_004,50,tier_2,4,HIPAA,0,32,edge_device,0.852,critical,500
5,hospital_005,2000,tier_1,32,PIPEDA,4,256,tier1_hospital,0.953,critical,50000
6,clinic_006,1000,tier_2,32,GDPR,4,128,tier2_hospital,0.932,critical,5000
7,research_center_007,20000,tier_3,256,GDPR,32,256,research_center,0.992,critical,100000
8,mobile_unit_008,100,tier_1,4,PIPEDA,2,16,mobile_unit,0.758,high,1000
9,edge_device_009,100,tier_2,2,HIPAA,1,32,edge_device,0.827,critical,1000
