node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,GDPR,8,128,tier1_hospital,0.971,standard,50000
1,clinic_001,2000,tier_2,32,PIPEDA,4,256,tier2_hospital,0.949,standard,5000
2,research_center_002,20000,tier_3,256,HIPAA,8,1024,research_center,0.998,high,50000
3,mobile_unit_003,1000,tier_1,16,HIPAA,1,64,mobile_unit,0.899,critical,2000
4,edge_device_004,500,tier_2,2,GDPR,1,8,edge_device,0.877,standard,2000
5,hospital_005,2000,tier_1,128,local,8,512,tier1_hospital,0.974,standard,50000
6,clinic_006,2000,tier_2,32,GDPR,8,64,tier2_hospital,0.92,high,20000
7,research_center_007,10000,tier_3,128,local,32,256,research_center,0.999,high,20000
8,mobile_unit_008,100,tier_1,8,HIPAA,1,16,mobile_unit,0.862,standard,5000
9,edge_device_009,50,tier_2,8,HIPAA,0,16,edge_device,0.717,high,1000
