node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,local,16,128,tier1_hospital,0.971,standard,10000
1,clinic_001,1000,tier_2,32,HIPAA,2,128,tier2_hospital,0.942,high,20000
2,research_center_002,10000,tier_3,128,GDPR,16,1024,research_center,0.982,critical,100000
3,mobile_unit_003,100,tier_1,16,GDPR,1,64,mobile_unit,0.798,standard,1000
4,edge_device_004,100,tier_2,8,HIPAA,1,32,edge_device,0.74,standard,500
5,hospital_005,10000,tier_1,64,PIPEDA,8,256,tier1_hospital,0.994,high,50000
6,clinic_006,2000,tier_2,32,PIPEDA,4,128,tier2_hospital,0.935,high,10000
7,research_center_007,5000,tier_3,64,HIPAA,8,512,research_center,0.987,standard,100000
8,mobile_unit_008,1000,tier_1,8,HIPAA,1,32,mobile_unit,0.817,critical,5000
9,edge_device_009,100,tier_2,4,PIPEDA,1,16,edge_device,0.873,standard,500
10,hospital_010,2000,tier_1,32,PIPEDA,4,128,tier1_hospital,0.964,critical,20000
11,clinic_011,5000,tier_2,32,HIPAA,4,64,tier2_hospital,0.932,critical,20000
12,research_center_012,20000,tier_3,256,local,32,512,research_center,0.989,critical,50000
13,mobile_unit_013,1000,tier_1,4,GDPR,1,64,mobile_unit,0.802,standard,2000
14,edge_device_014,100,tier_2,4,HIPAA,0,8,edge_device,0.769,standard,2000
15,hospital_015,2000,tier_1,128,local,8,512,tier1_hospital,0.981,standard,10000
16,clinic_016,5000,tier_2,16,HIPAA,4,256,tier2_hospital,0.974,high,5000
17,research_center_017,20000,tier_3,256,GDPR,8,512,research_center,0.985,critical,100000
18,mobile_unit_018,100,tier_1,4,local,2,32,mobile_unit,0.771,high,5000
19,edge_device_019,50,tier_2,4,PIPEDA,0,16,edge_device,0.876,high,500
