round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19
1,3.3743948936462402,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.3808505535125732,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.34791898727417,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2789227962493896,3.2778193950653076
2,3.282729148864746,3.282729148864746,3.334347724914551,3.282729148864746,3.3814029693603516,3.282729148864746,3.282729148864746,3.282729148864746,3.3813650608062744,3.282729148864746,3.282729148864746,3.282729148864746,3.282729148864746,3.282729148864746,3.282729148864746,3.282729148864746,3.282729148864746,3.282729148864746,3.282729148864746,3.288390636444092
3,3.3025755882263184,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.3073067665100098,3.2860615253448486,3.3360860347747803,3.2860615253448486,3.326231002807617,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486,3.2860615253448486
4,3.285601854324341,3.285601854324341,3.285601854324341,3.3217368125915527,3.285601854324341,3.285601854324341,3.285601854324341,3.285601854324341,3.325263738632202,3.285601854324341,3.285601854324341,3.285601854324341,3.285601854324341,3.3382582664489746,3.285601854324341,3.285601854324341,3.285601854324341,3.3294992446899414,3.285601854324341,3.285601854324341
5,3.3258283138275146,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.3172667026519775,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.3353989124298096,3.2842206954956055,3.2842206954956055,3.2842206954956055,3.3448846340179443,3.2842206954956055
6,3.2938992977142334,3.2830801010131836,3.3192927837371826,3.2863173484802246,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.2830801010131836,3.336376667022705,3.2830801010131836,3.2830801010131836,3.2830801010131836
7,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.301760673522949,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.374896764755249,3.2816896438598633,3.2816896438598633,3.2816896438598633,3.311617851257324,3.2600972652435303,3.2816896438598633,3.2816896438598633
8,3.315091848373413,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.3096389770507812,3.2825205326080322,3.2825205326080322,3.2825205326080322,3.294100522994995,3.2825205326080322,3.2825205326080322,3.2887372970581055
9,3.2830166816711426,3.2830166816711426,3.2926197052001953,3.3019344806671143,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.2830166816711426,3.339775800704956,3.2830166816711426,3.284975290298462,3.2830166816711426,3.2830166816711426
10,3.307509183883667,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.282620429992676,3.289247989654541,3.282620429992676,3.282620429992676,3.304835319519043,3.2895452976226807,3.282620429992676,3.282620429992676,3.282620429992676
