edge,weight
0-1,4483.71
0-2,5557.56
0-3,921.93
0-4,1122.79
0-5,1064.86
0-6,105.06
0-7,993.83
0-8,465.06
0-9,83.26
1-2,4377.65
1-3,879.94
1-4,518.77
1-5,4070.39
1-6,5169.63
1-7,1994.5
1-8,1751.9
1-9,96.93
2-3,956.7
2-4,4800.45
2-5,100.07
2-6,933.5
2-7,939.72
2-8,4207.74
2-9,95.6
3-4,4015.99
3-5,880.09
3-6,2180.78
3-7,1008.47
3-8,89.65
3-9,2051.82
4-5,1870.69
4-6,82.22
4-7,543.5
4-8,806.8
4-9,1095.82
5-6,429.99
5-7,4079.89
5-8,2204.9
5-9,566.3
6-7,524.24
6-8,875.14
6-9,966.28
7-8,874.73
7-9,571.1
8-9,5298.22
