node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,local,8,256,tier1_hospital,0.951,standard,20000
1,clinic_001,1000,tier_2,64,local,4,128,tier2_hospital,0.907,high,10000
2,research_center_002,5000,tier_3,256,GDPR,16,512,research_center,0.988,standard,20000
3,mobile_unit_003,1000,tier_1,4,GDPR,1,64,mobile_unit,0.802,critical,1000
4,edge_device_004,100,tier_2,8,PIPEDA,0,32,edge_device,0.721,high,1000
5,hospital_005,5000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.96,standard,50000
6,clinic_006,5000,tier_2,64,HIPAA,2,256,tier2_hospital,0.918,critical,5000
7,research_center_007,10000,tier_3,64,HIPAA,16,512,research_center,0.983,standard,20000
8,mobile_unit_008,100,tier_1,4,HIPAA,2,16,mobile_unit,0.771,standard,1000
9,edge_device_009,100,tier_2,2,PIPEDA,1,32,edge_device,0.758,standard,500
10,hospital_010,10000,tier_1,128,local,16,128,tier1_hospital,0.985,high,20000
11,clinic_011,2000,tier_2,32,PIPEDA,2,256,tier2_hospital,0.944,critical,10000
12,research_center_012,5000,tier_3,256,HIPAA,32,1024,research_center,0.991,high,50000
13,mobile_unit_013,100,tier_1,16,PIPEDA,2,64,mobile_unit,0.817,standard,1000
14,edge_device_014,100,tier_2,8,HIPAA,1,32,edge_device,0.882,critical,500
