edge,weight
0-1,81.93
0-2,496.14
0-3,862.73
0-4,405.12
0-5,1079.45
0-6,916.93
0-7,1714.71
0-8,509.96
0-9,845.96
0-10,4657.29
0-11,114.71
0-12,554.6
0-13,571.77
0-14,433.29
1-2,5635.72
1-3,4553.5
1-4,2350.09
1-5,109.91
1-6,5925.67
1-7,2104.92
1-8,1189.84
1-9,935.09
1-10,4254.79
1-11,504.65
1-12,4615.31
1-13,568.03
1-14,994.83
2-3,2109.43
2-4,403.47
2-5,2105.36
2-6,1101.44
2-7,4717.38
2-8,4591.15
2-9,2338.74
2-10,96.5
2-11,966.47
2-12,99.21
2-13,1000.3
2-14,1885.5
3-4,1936.23
3-5,2052.88
3-6,422.04
3-7,916.1
3-8,4024.86
3-9,2102.35
3-10,505.98
3-11,862.71
3-12,1895.38
3-13,5809.86
3-14,1948.64
4-5,1806.87
4-6,489.23
4-7,2058.54
4-8,119.03
4-9,818.95
4-10,87.48
4-11,5905.3
4-12,4315.68
4-13,522.71
4-14,1088.71
5-6,1177.66
5-7,111.38
5-8,2256.41
5-9,115.17
5-10,90.18
5-11,94.03
5-12,903.66
5-13,1064.7
5-14,1890.35
6-7,429.18
6-8,105.97
6-9,2062.13
6-10,118.22
6-11,952.75
6-12,1085.52
6-13,586.27
6-14,1124.97
7-8,1604.04
7-9,1176.67
7-10,4466.32
7-11,118.18
7-12,108.61
7-13,100.34
7-14,1038.69
8-9,1027.63
8-10,2162.66
8-11,2072.17
8-12,84.47
8-13,1861.82
8-14,451.58
9-10,4216.2
9-11,100.51
9-12,4803.15
9-13,103.5
9-14,2262.88
10-11,4033.16
10-12,5281.16
10-13,99.53
10-14,443.92
11-12,2229.26
11-13,5947.33
11-14,1191.3
12-13,95.98
12-14,959.55
13-14,1996.83
