node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,GDPR,8,256,tier1_hospital,0.989,critical,50000
1,clinic_001,2000,tier_2,32,PIPEDA,8,256,tier2_hospital,0.912,standard,20000
2,research_center_002,20000,tier_3,64,HIPAA,16,256,research_center,0.993,critical,100000
3,mobile_unit_003,500,tier_1,8,GDPR,1,64,mobile_unit,0.879,high,5000
4,edge_device_004,50,tier_2,2,local,1,32,edge_device,0.804,critical,1000
5,hospital_005,10000,tier_1,32,GDPR,4,256,tier1_hospital,0.979,standard,10000
6,clinic_006,1000,tier_2,16,PIPEDA,2,128,tier2_hospital,0.927,standard,10000
7,research_center_007,5000,tier_3,256,HIPAA,16,512,research_center,0.995,critical,20000
8,mobile_unit_008,500,tier_1,4,local,1,16,mobile_unit,0.793,high,1000
9,edge_device_009,50,tier_2,4,HIPAA,0,16,edge_device,0.751,standard,2000
10,hospital_010,5000,tier_1,32,PIPEDA,8,256,tier1_hospital,0.964,standard,20000
11,clinic_011,2000,tier_2,16,HIPAA,8,256,tier2_hospital,0.931,standard,5000
12,research_center_012,20000,tier_3,64,HIPAA,16,256,research_center,0.996,high,50000
13,mobile_unit_013,100,tier_1,8,PIPEDA,2,32,mobile_unit,0.791,high,2000
14,edge_device_014,50,tier_2,4,local,1,32,edge_device,0.752,high,500
15,hospital_015,2000,tier_1,128,local,16,256,tier1_hospital,0.991,high,10000
16,clinic_016,1000,tier_2,16,PIPEDA,2,128,tier2_hospital,0.953,standard,5000
17,research_center_017,20000,tier_3,256,GDPR,32,1024,research_center,0.994,high,50000
18,mobile_unit_018,1000,tier_1,8,local,1,16,mobile_unit,0.777,high,1000
19,edge_device_019,500,tier_2,8,PIPEDA,1,8,edge_device,0.88,standard,2000
