edge,weight
0-1,1810.58
0-2,93.66
0-3,4054.14
0-4,2273.83
0-5,5635.83
0-6,1990.79
0-7,2182.29
0-8,917.7
0-9,874.13
1-2,82.92
1-3,97.41
1-4,104.42
1-5,4049.04
1-6,1651.29
1-7,555.92
1-8,546.33
1-9,428.2
2-3,4222.88
2-4,5850.83
2-5,421.36
2-6,541.08
2-7,108.88
2-8,89.35
2-9,468.42
3-4,4405.42
3-5,1136.92
3-6,989.31
3-7,82.8
3-8,115.66
3-9,110.06
4-5,475.37
4-6,580.88
4-7,4898.91
4-8,1048.67
4-9,1752.59
5-6,1022.43
5-7,912.93
5-8,847.4
5-9,984.7
6-7,110.24
6-8,1669.32
6-9,81.18
7-8,94.7
7-9,97.65
8-9,1716.06
