node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,HIPAA,16,256,tier1_hospital,0.962,standard,20000
1,clinic_001,1000,tier_2,64,local,4,256,tier2_hospital,0.92,standard,5000
2,research_center_002,5000,tier_3,256,PIPEDA,8,1024,research_center,0.99,high,100000
3,mobile_unit_003,500,tier_1,4,PIPEDA,1,32,mobile_unit,0.85,critical,1000
4,edge_device_004,100,tier_2,2,PIPEDA,0,16,edge_device,0.763,high,1000
5,hospital_005,5000,tier_1,64,GDPR,4,256,tier1_hospital,0.958,high,10000
6,clinic_006,1000,tier_2,64,HIPAA,2,256,tier2_hospital,0.912,critical,10000
7,research_center_007,10000,tier_3,128,HIPAA,16,256,research_center,0.998,standard,20000
8,mobile_unit_008,100,tier_1,16,GDPR,2,64,mobile_unit,0.868,high,2000
9,edge_device_009,500,tier_2,8,local,1,16,edge_device,0.866,critical,1000
