edge,weight
0-1,119.95
0-2,2054.67
0-3,529.47
0-4,4700.33
0-5,2126.78
0-6,5610.72
0-7,935.01
0-8,952.26
0-9,1085.79
1-2,97.47
1-3,81.46
1-4,464.23
1-5,117.87
1-6,2144.53
1-7,5030.54
1-8,419.42
1-9,95.94
2-3,505.64
2-4,110.98
2-5,115.33
2-6,449.82
2-7,841.7
2-8,1006.14
2-9,1041.91
3-4,1041.11
3-5,4497.16
3-6,448.69
3-7,472.21
3-8,890.85
3-9,1773.67
4-5,4128.99
4-6,403.65
4-7,1149.88
4-8,2218.3
4-9,423.17
5-6,2239.58
5-7,4959.27
5-8,4466.67
5-9,1600.54
6-7,573.42
6-8,111.33
6-9,449.95
7-8,465.33
7-9,115.84
8-9,557.11
