node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,PIPEDA,4,256,tier1_hospital,0.963,high,10000
1,clinic_001,5000,tier_2,64,HIPAA,2,128,tier2_hospital,0.922,standard,5000
2,research_center_002,20000,tier_3,256,GDPR,32,512,research_center,0.996,high,50000
3,mobile_unit_003,100,tier_1,8,GDPR,2,32,mobile_unit,0.76,critical,5000
4,edge_device_004,500,tier_2,2,GDPR,1,16,edge_device,0.814,standard,1000
5,hospital_005,10000,tier_1,64,GDPR,16,256,tier1_hospital,0.977,critical,50000
6,clinic_006,1000,tier_2,64,PIPEDA,4,256,tier2_hospital,0.913,standard,10000
7,research_center_007,20000,tier_3,128,GDPR,16,256,research_center,0.994,high,50000
8,mobile_unit_008,500,tier_1,4,local,1,64,mobile_unit,0.806,critical,2000
9,edge_device_009,100,tier_2,2,HIPAA,1,32,edge_device,0.795,standard,1000
10,hospital_010,5000,tier_1,64,PIPEDA,4,512,tier1_hospital,0.972,standard,10000
11,clinic_011,5000,tier_2,16,GDPR,4,128,tier2_hospital,0.901,standard,5000
12,research_center_012,5000,tier_3,128,local,8,256,research_center,0.988,critical,100000
13,mobile_unit_013,500,tier_1,16,GDPR,1,32,mobile_unit,0.894,critical,2000
14,edge_device_014,50,tier_2,8,HIPAA,1,8,edge_device,0.762,standard,2000
15,hospital_015,5000,tier_1,128,PIPEDA,16,512,tier1_hospital,0.973,high,10000
16,clinic_016,1000,tier_2,16,PIPEDA,2,64,tier2_hospital,0.932,standard,10000
17,research_center_017,5000,tier_3,256,HIPAA,8,512,research_center,0.984,standard,100000
18,mobile_unit_018,100,tier_1,8,GDPR,2,64,mobile_unit,0.874,high,2000
19,edge_device_019,50,tier_2,2,HIPAA,1,8,edge_device,0.804,high,500
