node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,local,4,128,tier1_hospital,0.995,critical,20000
1,clinic_001,2000,tier_2,64,GDPR,4,256,tier2_hospital,0.976,high,5000
2,research_center_002,20000,tier_3,256,local,32,1024,research_center,0.988,standard,50000
3,mobile_unit_003,100,tier_1,8,PIPEDA,2,32,mobile_unit,0.867,standard,1000
4,edge_device_004,500,tier_2,4,GDPR,0,32,edge_device,0.791,standard,1000
5,hospital_005,5000,tier_1,64,PIPEDA,8,512,tier1_hospital,1.0,high,20000
6,clinic_006,1000,tier_2,16,HIPAA,2,64,tier2_hospital,0.966,standard,5000
7,research_center_007,10000,tier_3,64,GDPR,8,512,research_center,0.988,standard,100000
8,mobile_unit_008,100,tier_1,4,HIPAA,1,32,mobile_unit,0.856,standard,1000
9,edge_device_009,100,tier_2,8,HIPAA,1,32,edge_device,0.714,critical,500
