round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.23366117477417,3.2956817150115967,3.23366117477417,3.2838690280914307,3.23366117477417,3.23366117477417,3.291783094406128,3.23366117477417,3.23366117477417,3.2349436283111572
2,3.291351556777954,3.2385201454162598,3.2952771186828613,3.237650156021118,3.2824952602386475,3.237044334411621,3.237713098526001,3.2374625205993652,3.2360496520996094,3.236736536026001
3,3.4894449710845947,3.4441521167755127,3.2414052486419678,3.2405405044555664,3.241020679473877,3.2385666370391846,3.2388083934783936,3.2389628887176514,3.690537929534912,3.2668609619140625
4,3.2947747707366943,3.7392308712005615,3.379478931427002,3.2901995182037354,3.56415057182312,3.3087644577026367,3.321694850921631,3.3340983390808105,3.34253191947937,3.462423086166382
5,3.3569159507751465,3.9149656295776367,3.344766139984131,3.344440221786499,3.353811264038086,3.342128276824951,3.6338279247283936,3.4342141151428223,3.9457600116729736,3.3533546924591064
6,3.886916399002075,3.502000331878662,3.5752813816070557,3.4827497005462646,3.506683826446533,3.939403772354126,3.556692600250244,3.6895103454589844,3.5617153644561768,3.509545087814331
7,3.9835104942321777,3.569213628768921,3.577815055847168,3.9531421661376953,4.009644031524658,3.604475498199463,3.578500747680664,3.7377965450286865,3.576214075088501,3.579314947128296
8,3.6963229179382324,3.676990032196045,3.6903600692749023,4.018612861633301,4.055588722229004,3.639970064163208,3.9480228424072266,3.8178975582122803,3.6483004093170166,3.6615235805511475
9,4.0776472091674805,3.7742278575897217,3.786024570465088,3.789597511291504,4.089537620544434,3.745164632797241,3.7592265605926514,3.743445634841919,4.273906230926514,3.9182116985321045
10,4.241091728210449,3.8863463401794434,4.018889427185059,4.190487384796143,3.921095609664917,3.9096033573150635,4.181581497192383,3.9508678913116455,3.9644131660461426,3.9186084270477295
