node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,PIPEDA,16,512,tier1_hospital,0.963,high,50000
1,clinic_001,1000,tier_2,16,GDPR,8,256,tier2_hospital,0.901,standard,20000
2,research_center_002,5000,tier_3,64,HIPAA,8,256,research_center,0.996,critical,50000
3,mobile_unit_003,500,tier_1,4,GDPR,1,32,mobile_unit,0.82,standard,1000
4,edge_device_004,500,tier_2,2,GDPR,1,8,edge_device,0.851,critical,2000
5,hospital_005,10000,tier_1,32,GDPR,16,128,tier1_hospital,0.97,high,50000
6,clinic_006,2000,tier_2,32,PIPEDA,8,64,tier2_hospital,0.922,high,10000
7,research_center_007,10000,tier_3,128,PIPEDA,8,256,research_center,0.981,high,50000
8,mobile_unit_008,100,tier_1,8,local,1,16,mobile_unit,0.799,high,5000
9,edge_device_009,100,tier_2,4,HIPAA,1,32,edge_device,0.766,critical,500
