node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,GDPR,4,128,tier1_hospital,0.974,critical,20000
1,clinic_001,1000,tier_2,16,local,4,64,tier2_hospital,0.971,high,20000
2,research_center_002,5000,tier_3,256,local,8,512,research_center,0.993,critical,100000
3,mobile_unit_003,1000,tier_1,16,local,1,16,mobile_unit,0.825,critical,5000
4,edge_device_004,500,tier_2,8,PIPEDA,0,32,edge_device,0.848,standard,1000
5,hospital_005,2000,tier_1,64,local,8,256,tier1_hospital,0.999,critical,20000
6,clinic_006,1000,tier_2,32,local,8,256,tier2_hospital,0.912,high,5000
7,research_center_007,20000,tier_3,256,PIPEDA,8,1024,research_center,0.993,standard,100000
8,mobile_unit_008,500,tier_1,8,local,2,16,mobile_unit,0.891,critical,2000
9,edge_device_009,50,tier_2,4,local,1,16,edge_device,0.786,critical,500
