node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,HIPAA,8,512,tier1_hospital,0.964,high,10000
1,clinic_001,2000,tier_2,32,GDPR,2,128,tier2_hospital,0.946,critical,10000
2,research_center_002,20000,tier_3,128,local,8,1024,research_center,0.981,high,50000
3,mobile_unit_003,100,tier_1,16,HIPAA,2,16,mobile_unit,0.781,critical,5000
4,edge_device_004,50,tier_2,8,HIPAA,0,16,edge_device,0.862,standard,500
5,hospital_005,10000,tier_1,128,local,8,512,tier1_hospital,0.978,critical,20000
6,clinic_006,2000,tier_2,64,PIPEDA,8,256,tier2_hospital,0.915,critical,10000
7,research_center_007,10000,tier_3,64,HIPAA,16,1024,research_center,0.981,high,50000
8,mobile_unit_008,1000,tier_1,16,HIPAA,1,16,mobile_unit,0.889,high,1000
9,edge_device_009,50,tier_2,4,PIPEDA,0,16,edge_device,0.746,high,500
10,hospital_010,5000,tier_1,32,local,16,256,tier1_hospital,0.979,critical,50000
11,clinic_011,2000,tier_2,32,PIPEDA,8,128,tier2_hospital,0.908,critical,10000
12,research_center_012,20000,tier_3,128,GDPR,32,1024,research_center,0.988,standard,20000
13,mobile_unit_013,1000,tier_1,16,GDPR,1,16,mobile_unit,0.851,critical,2000
14,edge_device_014,50,tier_2,8,PIPEDA,0,16,edge_device,0.808,standard,2000
15,hospital_015,5000,tier_1,128,local,4,128,tier1_hospital,0.977,critical,20000
16,clinic_016,2000,tier_2,32,local,8,64,tier2_hospital,0.969,critical,20000
17,research_center_017,10000,tier_3,64,local,32,1024,research_center,0.991,critical,100000
18,mobile_unit_018,100,tier_1,8,HIPAA,2,64,mobile_unit,0.81,standard,1000
19,edge_device_019,100,tier_2,8,HIPAA,0,16,edge_device,0.744,critical,1000
