edge,weight
0-1,2131.68
0-2,1175.32
0-3,4231.34
0-4,5472.91
0-5,4197.35
0-6,598.27
0-7,477.15
0-8,101.91
0-9,4952.75
1-2,537.6
1-3,93.31
1-4,4490.25
1-5,895.24
1-6,4908.96
1-7,2008.47
1-8,5804.23
1-9,1131.27
2-3,5730.01
2-4,4893.6
2-5,5736.34
2-6,1040.12
2-7,430.58
2-8,83.46
2-9,4750.73
3-4,557.16
3-5,2137.11
3-6,1178.33
3-7,112.32
3-8,95.38
3-9,1888.25
4-5,504.9
4-6,2176.32
4-7,476.2
4-8,1149.86
4-9,2127.12
5-6,932.73
5-7,1770.37
5-8,1098.54
5-9,5746.58
6-7,844.38
6-8,114.54
6-9,431.98
7-8,111.69
7-9,101.38
8-9,110.58
