node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,regional,FedRAMP,radiology,1967,private,mayo_clinic,tier1_hospital,2433
1,national,SOC2,oncology,1999,private,johns_hopkins,tier2_hospital,2038
2,national,ISO27001,cardiology,2000,research_grant,stanford_med,research_center,3199
3,regional,SOC2,neurology,2007,research_grant,mass_general,mobile_unit,4149
4,national,FedRAMP,pathology,1999,mixed,ucla_health,edge_device,1565
5,local,ISO27001,radiology,2015,private,mayo_clinic,tier1_hospital,2931
6,local,HIPAA_compliant,oncology,2020,research_grant,johns_hopkins,tier2_hospital,2380
7,international,ISO27001,cardiology,1960,mixed,stanford_med,research_center,2872
8,international,ISO27001,neurology,1995,research_grant,mass_general,mobile_unit,1692
9,international,FedRAMP,pathology,1984,research_grant,ucla_health,edge_device,1217
