node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,local,4,256,tier1_hospital,0.96,high,50000
1,clinic_001,1000,tier_2,64,GDPR,2,256,tier2_hospital,0.9,high,10000
2,research_center_002,20000,tier_3,256,PIPEDA,32,256,research_center,0.993,standard,100000
3,mobile_unit_003,1000,tier_1,8,HIPAA,1,16,mobile_unit,0.789,critical,5000
4,edge_device_004,500,tier_2,2,local,1,32,edge_device,0.843,standard,2000
5,hospital_005,5000,tier_1,32,local,4,256,tier1_hospital,0.96,critical,10000
6,clinic_006,2000,tier_2,16,GDPR,2,256,tier2_hospital,0.929,critical,5000
7,research_center_007,20000,tier_3,256,local,32,512,research_center,0.983,critical,20000
8,mobile_unit_008,1000,tier_1,4,HIPAA,1,16,mobile_unit,0.834,critical,5000
9,edge_device_009,50,tier_2,4,PIPEDA,1,16,edge_device,0.9,standard,1000
10,hospital_010,5000,tier_1,32,local,8,256,tier1_hospital,0.985,critical,50000
11,clinic_011,2000,tier_2,16,PIPEDA,2,64,tier2_hospital,0.939,standard,10000
12,research_center_012,5000,tier_3,128,PIPEDA,16,256,research_center,0.995,standard,20000
13,mobile_unit_013,100,tier_1,4,local,1,16,mobile_unit,0.886,high,2000
14,edge_device_014,500,tier_2,4,local,1,32,edge_device,0.744,standard,1000
15,hospital_015,2000,tier_1,64,PIPEDA,4,256,tier1_hospital,0.987,high,10000
16,clinic_016,1000,tier_2,64,PIPEDA,8,128,tier2_hospital,0.927,high,20000
17,research_center_017,5000,tier_3,256,GDPR,32,512,research_center,0.98,high,20000
18,mobile_unit_018,100,tier_1,16,local,2,64,mobile_unit,0.75,high,2000
19,edge_device_019,500,tier_2,2,GDPR,0,32,edge_device,0.895,high,2000
