node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,HIPAA,8,256,tier1_hospital,0.978,high,10000
1,clinic_001,1000,tier_2,32,GDPR,8,128,tier2_hospital,0.958,standard,20000
2,research_center_002,5000,tier_3,64,local,8,1024,research_center,1.0,standard,20000
3,mobile_unit_003,1000,tier_1,8,PIPEDA,2,64,mobile_unit,0.816,standard,2000
4,edge_device_004,100,tier_2,8,PIPEDA,1,32,edge_device,0.779,standard,1000
5,hospital_005,10000,tier_1,32,HIPAA,16,256,tier1_hospital,0.985,high,20000
6,clinic_006,5000,tier_2,64,local,8,64,tier2_hospital,0.97,critical,10000
7,research_center_007,10000,tier_3,64,local,8,1024,research_center,0.99,critical,50000
8,mobile_unit_008,500,tier_1,8,local,2,16,mobile_unit,0.778,critical,2000
9,edge_device_009,500,tier_2,8,GDPR,1,16,edge_device,0.715,critical,1000
10,hospital_010,2000,tier_1,128,HIPAA,8,256,tier1_hospital,0.984,high,50000
11,clinic_011,2000,tier_2,64,GDPR,8,256,tier2_hospital,0.976,critical,10000
12,research_center_012,10000,tier_3,128,GDPR,16,512,research_center,0.981,standard,20000
13,mobile_unit_013,100,tier_1,8,HIPAA,2,64,mobile_unit,0.768,critical,5000
14,edge_device_014,50,tier_2,2,GDPR,1,16,edge_device,0.701,critical,1000
15,hospital_015,5000,tier_1,32,GDPR,8,128,tier1_hospital,0.968,standard,20000
16,clinic_016,2000,tier_2,32,PIPEDA,4,128,tier2_hospital,0.93,high,20000
17,research_center_017,10000,tier_3,256,PIPEDA,16,512,research_center,0.998,high,50000
18,mobile_unit_018,1000,tier_1,16,local,2,16,mobile_unit,0.774,critical,1000
19,edge_device_019,500,tier_2,8,GDPR,1,32,edge_device,0.766,critical,2000
