edge,weight
0-1,4814.9
0-2,575.48
0-3,85.81
0-4,591.6
0-5,86.35
0-6,98.06
0-7,2121.19
0-8,529.32
0-9,96.52
1-2,1196.17
1-3,5901.36
1-4,116.43
1-5,1177.28
1-6,4113.69
1-7,413.93
1-8,1052.2
1-9,886.88
2-3,102.56
2-4,4195.15
2-5,80.44
2-6,112.54
2-7,519.72
2-8,1842.46
2-9,116.2
3-4,102.26
3-5,2139.75
3-6,5102.18
3-7,1104.97
3-8,513.72
3-9,4234.48
4-5,551.54
4-6,4579.23
4-7,109.05
4-8,98.92
4-9,4213.31
5-6,4221.93
5-7,2377.78
5-8,5524.93
5-9,2078.8
6-7,564.93
6-8,110.58
6-9,4642.8
7-8,2012.48
7-9,927.59
8-9,116.05
