edge,weight
0-1,2053.72
0-2,4955.59
0-3,106.06
0-4,1085.24
0-5,116.46
0-6,1044.59
0-7,1946.58
0-8,490.08
0-9,866.58
1-2,5332.91
1-3,448.68
1-4,407.55
1-5,543.99
1-6,4533.35
1-7,2075.43
1-8,4226.03
1-9,451.74
2-3,571.48
2-4,1819.82
2-5,1832.82
2-6,1823.87
2-7,1639.11
2-8,110.08
2-9,403.45
3-4,4636.02
3-5,4806.42
3-6,2246.06
3-7,2260.1
3-8,5533.73
3-9,444.48
4-5,111.68
4-6,1019.8
4-7,990.34
4-8,4106.11
4-9,1771.3
5-6,4595.35
5-7,508.29
5-8,830.64
5-9,102.16
6-7,5945.43
6-8,953.59
6-9,465.53
7-8,111.94
7-9,5821.26
8-9,2197.11
